net,length_um
_0647_,28.82
u_interface.u_compute_core.scaled_data\[7\],28.745
_2198_,28.7
_1265_,28.68
_1808_,28.6
_0699_,28.58
_0736_,28.58
u_interface.u_compute_core.relu_data\[11\],28.56
_2156_,28.48
_1189_,28.46
_1197_,28.42
_0643_,28.4
_0707_,28.4
_1354_,28.39
_0663_,28.36
_2243_,28.36
_1469_,28.26
_0600_,28.08
_0698_,28.08
u_interface.core_attn_out\[13\],28.02
_2068_,28
_1275_,27.94
u_interface.u_compute_core.mac_accum\[16\],27.92
u_interface.u_compute_core.mac_accum\[17\],27.76
_2438_,27.7
_1329_,27.66
_0304_,27.62
_2130_,27.62
net119,27.6
_2311_,27.59
_1619_,27.5
u_interface.core_attn_out\[11\],27.5
_1266_,27.44
_1486_,27.44
net74,27.38
_1317_,27.36
_1657_,27.36
_2210_,27.24
_0704_,27.14
_1506_,27.12
_1414_,27
_2217_,27
_1648_,26.86
_0653_,26.82
u_interface.core_attn_out\[29\],26.735
_1666_,26.7
net15,26.69
_1174_,26.68
_0901_,26.64
_2109_,26.64
u_interface.u_compute_core.u_mac.product_reg\[5\],26.64
_1541_,26.58
_0911_,26.5
_1362_,26.48
_1928_,26.36
_2990_,26.34
_2862_,26.32
_0818_,26.24
net6,26.11
_0326_,26.06
_1599_,26.04
_1592_,25.94
_0420_,25.92
_1146_,25.905
u_interface.u_compute_core.relu_data\[24\],25.9
net57,25.9
_2909_,25.8
_1716_,25.72
_1394_,25.68
_1669_,25.54
u_interface.u_compute_core.u_mac.product_reg\[4\],25.52
net16,25.52
_0886_,25.44
_0734_,25.38
_0712_,25.29
_0783_,25.24
u_interface.u_compute_core.u_av.product_reg\[19\],25.24
net59,25.22
u_interface.core_attn_out\[19\],25.12
_1121_,25.1
_2063_,25.02
_0988_,25
_1307_,24.98
u_interface.u_compute_core.u_av.product_reg\[20\],24.98
_1686_,24.96
_0944_,24.94
u_interface.u_compute_core.u_av.product_reg\[22\],24.94
_1058_,24.9
_1480_,24.9
u_interface.u_compute_core.relu_data\[4\],24.875
_2147_,24.86
u_interface.u_compute_core.u_mac.product_reg\[0\],24.84
_2381_,24.82
_1099_,24.78
_3005_,24.78
u_interface.u_compute_core.mac_accum\[14\],24.76
_0892_,24.7
_0924_,24.7
_0636_,24.68
_2396_,24.68
_2839_,24.68
_1437_,24.64
_1931_,24.64
u_interface.u_compute_core.mac_accum\[27\],24.6
_0225_,24.58
_1518_,24.52
_2037_,24.52
_2298_,24.52
_0777_,24.46
_2947_,24.42
